"","item_id","category","price","sellable_online","other_colors","depth","height","width"
"238",80322855,"Bookcases & shelving units",22,TRUE,"Yes",32,NA,9
"239",10293597,"Cabinets & cupboards",40,TRUE,"Yes",100,100,100
"240",79184435,"Bookcases & shelving units",410,TRUE,"No",25,176,66
"241",39216754,"Sofas & armchairs",1846,TRUE,"Yes",151,66,NA
"242",19289954,"Sofas & armchairs",1750,TRUE,"Yes",NA,NA,NA
"243",49047119,"Tables & desks",460,TRUE,"Yes",NA,74,60
"244",69275718,"Bookcases & shelving units",1340,TRUE,"No",40,110,170
"245",80229008,"Wardrobes",645,TRUE,"No",52,139,80
"246",59255706,"Sofas & armchairs",3760,TRUE,"Yes",98,104,235
"247",70248564,"Nursery furniture",695,TRUE,"No",NA,85,67
"248",19129932,"Beds",1795,TRUE,"Yes",53,21,86
"249",90299029,"Chairs",1395,TRUE,"Yes",94,97,85
"250",80295526,"Bookcases & shelving units",25,TRUE,"Yes",16,NA,56
"251",50268812,"Tables & desks",237,TRUE,"Yes",NA,55,83
"252",69208031,"Cabinets & cupboards",1600.5,TRUE,"Yes",42,112,180
"253",29252912,"Wardrobes",830,TRUE,"Yes",50,192,60
"254",70247376,"Cabinets & cupboards",225,TRUE,"Yes",40,64,120
"255",69303504,"Bookcases & shelving units",625,TRUE,"No",30,124,89
"256",50351104,"Sofas & armchairs",190,TRUE,"Yes",NA,NA,NA
"257",60431563,"Sofas & armchairs",1845,TRUE,"Yes",105,83,225
"258",89259963,"Outdoor furniture",542,TRUE,"Yes",80,84,63
"259",50357002,"Bookcases & shelving units",25,TRUE,"No",38,NA,NA
"260",20404806,"Beds",1595,TRUE,"Yes",NA,NA,175
"261",10281354,"Bar furniture",595,TRUE,"No",36,84,38
"262",50339206,"Outdoor furniture",465,TRUE,"No",67,80,68
"263",20330599,"TV & media furniture",199,TRUE,"No",NA,NA,NA
"264",80349001,"Bookcases & shelving units",45,TRUE,"No",34,10,34
"265",9252786,"Chairs",695,TRUE,"Yes",68,NA,68
"266",9307741,"Sofas & armchairs",960,TRUE,"Yes",164,104,328
"267",89061226,"TV & media furniture",510,TRUE,"Yes",40,48,120
"268",39279280,"Sofas & armchairs",1139,TRUE,"Yes",NA,94,88
"269",10448325,"Beds",295,TRUE,"No",NA,20,90
"270",59248320,"Bookcases & shelving units",371,TRUE,"No",50,179,89
"271",70348894,"Bookcases & shelving units",49,TRUE,"No",34,NA,NA
"272",30338415,"Bookcases & shelving units",22,TRUE,"Yes",24,NA,13
"273",39217838,"Sofas & armchairs",1327,TRUE,"Yes",NA,69,212
"274",89019992,"Beds",871,TRUE,"Yes",NA,NA,148
"275",49265895,"Cabinets & cupboards",4580,TRUE,"Yes",47,212,242
"276",59304207,"Chairs",275,TRUE,"No",50,87,53
"277",70348894,"TV & media furniture",49,TRUE,"No",34,NA,NA
"278",70239710,"Tables & desks",995,TRUE,"No",NA,40,59
"279",69253146,"Nursery furniture",810,TRUE,"Yes",79,102,90
"280",9252197,"Tables & desks",3225,TRUE,"No",NA,74,87
"281",79262447,"Outdoor furniture",676,TRUE,"No",NA,73,90
"282",50357002,"Cabinets & cupboards",25,TRUE,"No",38,NA,NA
"283",90354327,"Beds",399,TRUE,"No",85,78,128
"284",99228476,"Children's furniture",250,TRUE,"Yes",30,145,46
"285",80089239,"Nursery furniture",10,TRUE,"No",NA,10,30
"286",40364060,"Cabinets & cupboards",38.5,TRUE,"Yes",NA,64,60
"287",40264485,"Outdoor furniture",75,TRUE,"No",50,NA,50
"288",39266008,"Beds",5553,TRUE,"No",98,102,208
"289",19305044,"Tables & desks",3475,TRUE,"No",NA,74,85
"290",9285070,"Cabinets & cupboards",4540,TRUE,"Yes",45,160,160
"291",90365180,"Children's furniture",149,TRUE,"No",NA,48,NA
"292",19250697,"Tables & desks",1675,TRUE,"No",NA,74,78
"293",89259939,"Sofas & armchairs",275,TRUE,"Yes",25,33,NA
"294",80253809,"Beds",745,TRUE,"No",NA,116,99
"295",70284203,"Sofas & armchairs",995,TRUE,"No",72,72,149
"296",49103247,"Tables & desks",1595,TRUE,"No",NA,74,78
"297",89325289,"Wardrobes",450,TRUE,"No",NA,NA,NA
"298",59282583,"Tables & desks",1295,TRUE,"Yes",80,NA,NA
"299",44881100,"Chairs",150,TRUE,"No",NA,NA,120
"300",322859,"Bookcases & shelving units",90,TRUE,"No",25,NA,61
"301",30439476,"Wardrobes",895,TRUE,"No",47,123,120
"302",9251956,"Sofas & armchairs",2170,TRUE,"No",94,90,179
"303",99234255,"Cabinets & cupboards",2666,TRUE,"Yes",37,197,188
"304",50347517,"TV & media furniture",35,TRUE,"Yes",30,NA,22
"305",49129209,"Sofas & armchairs",1750,TRUE,"Yes",88,88,218
"306",275674,"Bookcases & shelving units",245,TRUE,"Yes",NA,192,40
"307",39289811,"Outdoor furniture",2875,TRUE,"Yes",NA,NA,NA
"308",385069,"Chairs",150,TRUE,"No",50,45,50
"309",40247207,"Tables & desks",575,TRUE,"No",NA,71,78
"310",40291851,"Cabinets & cupboards",50,TRUE,"Yes",NA,26,60
"311",59221165,"Chairs",565,TRUE,"No",NA,NA,NA
"312",19325457,"Sofas & armchairs",1295,TRUE,"No",81,81,176
"313",99031408,"Bookcases & shelving units",735,TRUE,"No",50,171,230
"314",293772,"Tables & desks",2495,TRUE,"No",NA,74,100
"315",19214275,"Tables & desks",375,TRUE,"Yes",NA,NA,75
"316",19305807,"Wardrobes",2450,TRUE,"No",44,236,200
"317",89304786,"Chairs",1195,TRUE,"No",NA,NA,80
"318",90301555,"Bookcases & shelving units",115,TRUE,"No",39,42,77
"319",40201916,"Trolleys",795,TRUE,"No",NA,90,43
"320",50404522,"Outdoor furniture",215,TRUE,"No",NA,NA,80
"321",10291678,"Bookcases & shelving units",45,TRUE,"Yes",NA,26,60
"322",70292321,"Outdoor furniture",103,TRUE,"No",NA,40,60
"323",29228470,"Children's furniture",365,TRUE,"Yes",44,56,99
"324",70419787,"Outdoor furniture",675,TRUE,"No",NA,72,140
"325",79061180,"Tables & desks",6024,TRUE,"No",NA,NA,160
"326",99000483,"Tables & desks",125,TRUE,"No",NA,74,67
"327",59301483,"Cabinets & cupboards",1020,TRUE,"Yes",22,202,60
"328",20089242,"Children's furniture",25,TRUE,"No",NA,36,30
"329",30449748,"Nursery furniture",16,TRUE,"No",NA,NA,NA
"330",334536,"Bookcases & shelving units",235,TRUE,"Yes",35,70,70
"331",59930958,"Tables & desks",475,TRUE,"Yes",NA,73,75
"332",59211760,"Chests of drawers & drawer units",980,TRUE,"No",47,99,80
"333",9217972,"Sofas & armchairs",1400,TRUE,"Yes",NA,NA,NA
"334",19299726,"Sofas & armchairs",7765,TRUE,"Yes",98,83,349
"335",49278591,"Beds",7610,TRUE,"Yes",164,104,252
"336",29287676,"Outdoor furniture",1010,TRUE,"Yes",NA,73,71
"337",20391856,"Outdoor furniture",75,TRUE,"No",NA,NA,NA
"338",308684,"Chairs",1045,TRUE,"Yes",68,NA,68
"339",30091452,"Nursery furniture",150,TRUE,"No",30,94,46
"340",9251348,"Bookcases & shelving units",1137,TRUE,"No",50,179,179
"341",9303309,"Wardrobes",3035,TRUE,"No",66,236,150
"342",69304221,"Tables & desks",2176,TRUE,"No",NA,NA,NA
"343",59306268,"Tables & desks",589,TRUE,"No",NA,75,74
"344",49284610,"Tables & desks",1240,TRUE,"Yes",NA,73,70
"345",9299661,"Sofas & armchairs",4805,TRUE,"Yes",98,83,235
"346",9229791,"Tables & desks",695,TRUE,"No",NA,74,60
"347",79269180,"Chairs",2500,TRUE,"Yes",158,78,78
"348",39311765,"Bookcases & shelving units",529,TRUE,"No",41,197,176
"349",30442662,"Sofas & armchairs",250,TRUE,"Yes",94,97,85
"350",69130612,"Tables & desks",2095,TRUE,"No",NA,75,78
"351",80379620,"Wardrobes",297.5,TRUE,"No",37,130,99
"352",59285384,"Sofas & armchairs",1290,TRUE,"Yes",164,83,81
"353",70323600,"Bookcases & shelving units",19,TRUE,"No",NA,NA,NA
"354",19284857,"Sofas & armchairs",2515,TRUE,"Yes",98,83,227
"355",10174641,"Outdoor furniture",139,TRUE,"No",92,71,74
"356",29276531,"Bookcases & shelving units",509,TRUE,"No",41,199,132
"357",69325855,"Tables & desks",950,TRUE,"No",NA,73,75
"358",69287537,"Beds",2095,TRUE,"No",NA,99,164
"359",29282532,"Cabinets & cupboards",1105,TRUE,"Yes",45,101,41
"360",60193736,"Tables & desks",39,TRUE,"No",NA,45,55
"361",29214312,"Tables & desks",390,TRUE,"Yes",NA,74,60
"362",29286931,"Cabinets & cupboards",1389,TRUE,"Yes",45,101,61
"363",70343797,"Sofas & armchairs",175,TRUE,"No",NA,NA,40
"364",60441779,"Children's furniture",195,TRUE,"No",53,NA,53
"365",49011766,"Tables & desks",179,TRUE,"No",NA,72,75
"366",69297292,"Chairs",2575,TRUE,"No",NA,NA,90
