"category","price","sellable_online","other_colors","depth","height","width"
"Outdoor furniture",0,"TRUE","No",68,93,54
"Bookcases & shelving units",0,"TRUE","Yes",30,147,17
"Tables & desks",1,"TRUE","No",48.5,74,80
"Chairs",0,"TRUE","No",51.5,72,75
"Cabinets & cupboards",0,"TRUE","Yes",35,70,175
"TV & media furniture",0,"TRUE","No",38,26,60
"Cabinets & cupboards",1,"TRUE","Yes",42,230,240
"Cabinets & cupboards",0,"TRUE","No",36,92,56
"Wardrobes",0,"TRUE","No",42,40,240
"Tables & desks",1,"TRUE","No",48.5,74,80
"Chairs",0,"TRUE","No",51,95,43
"Wardrobes",0,"TRUE","No",48,123,80
"Bookcases & shelving units",0,"TRUE","Yes",40,80,160
"Chairs",0,"TRUE","No",58,97,51
"Cabinets & cupboards",1,"TRUE","No",48,141,103
"Trolleys",0,"TRUE","No",79,83,30
"Tables & desks",0,"TRUE","No",48.5,74,48
"Chairs",1,"TRUE","Yes",84,79,94
"Bookcases & shelving units",1,"TRUE","No",35,176,297
"Beds",1,"TRUE","Yes",97.5,83,87
"Cabinets & cupboards",0,"TRUE","No",35,70,120
"Bookcases & shelving units",0,"TRUE","No",41,85,127
"Tables & desks",1,"TRUE","No",48.5,74,95
"Beds",1,"TRUE","Yes",98,83,190
"Cabinets & cupboards",0,"TRUE","No",16,92,56
"Sofas & armchairs",1,"TRUE","Yes",151,96,230
"Bookcases & shelving units",0,"TRUE","Yes",28,147,20
"Bookcases & shelving units",0,"TRUE","No",36,32,76
"Chairs",0,"TRUE","No",68,78.5,68
"Tables & desks",0,"TRUE","No",27,10,120
"Bookcases & shelving units",0,"TRUE","No",51,173,198
"Wardrobes",1,"TRUE","No",57,241,160
"Wardrobes",1,"TRUE","No",56,236,270
"TV & media furniture",1,"TRUE","No",48,59,160
"Tables & desks",0,"TRUE","Yes",48.5,102,74
"Cabinets & cupboards",1,"TRUE","Yes",37,134,121
"Tables & desks",0,"TRUE","No",48.5,74,65
"Outdoor furniture",0,"TRUE","No",67.5,72,78
"Chairs",1,"TRUE","No",51.5,78.5,74
"Tables & desks",0,"TRUE","No",48.5,87,53
"Bookcases & shelving units",1,"TRUE","No",30,179,259
"Cabinets & cupboards",1,"TRUE","No",38,214,276
"Sofas & armchairs",1,"TRUE","Yes",98,83,241
"Cafe furniture",1,"TRUE","No",40,104,74
"Tables & desks",1,"TRUE","No",48.5,74,74
"Chairs",0,"TRUE","Yes",52,100,50
"Tables & desks",0,"TRUE","No",48.5,72,75
"Beds",0,"TRUE","No",97.5,80,142
"Sofas & armchairs",1,"TRUE","Yes",98,104,235
"Bookcases & shelving units",0,"TRUE","Yes",24,147,80
"Wardrobes",0,"TRUE","No",42,221,80
"Chairs",0,"TRUE","No",36,78.5,36
